NO. OF CHILDREN,UNEMPLOYED PARENTS,FINANCIAL INCOME,YEAR,PERCENTAGE,POVERTY RATES IN EDUCATION
10027001716,241,26,2018-2019,30.551916,-87.698513
10027001759,383,74,2018-2019,30.638818,-87.86408
10027001783,456,104,2018-2019,30.79009,-87.849084
10027001784,233,43,2018-2019,30.381721,-87.689321
10027001810,208,40,2018-2019,30.893671,-87.794007
10027001859,217,39,2018-2019,30.893827,-87.780681
10027001888,477,90,2018-2019,30.71514,-87.853961
10027002072,390,91,2018-2019,30.614061,-87.869867
10027002073,522,83,2018-2019,30.688661,-87.854082
10027002180,241,26,2018-2019,30.552507,-87.698735
10027002443,424,113,2018-2019,30.522039,-87.901298
10030000074,115,37,2018-2019,31.868278,-85.44613
10030001478,75,32,2018-2019,31.778742,-85.550847
10030001641,76,29,2018-2019,31.7804,-85.55456
10033000082,451,125,2018-2019,33.334137,-86.933327
10033000084,109,41,2018-2019,33.409709,-86.941039
10033000086,304,143,2018-2019,33.368618,-86.985203
10033000087,266,132,2018-2019,33.370885,-86.999217
10033000088,164,50,2018-2019,33.378496,-86.958679
10033000090,180,63,2018-2019,33.378743,-86.980463
10033001264,167,63,2018-2019,33.402275,-86.958161
10033001267,266,132,2018-2019,33.370885,-86.999217
10033001479,195,74,2018-2019,33.412572,-86.960252
10036000092,262,94,2018-2019,32.947233,-87.142577
10036000094,293,110,2018-2019,32.943214,-87.115079
10036000095,268,91,2018-2019,32.942416,-87.162241
10036000096,227,75,2018-2019,32.901176,-86.906058
10036000098,321,75,2018-2019,33.114576,-87.125381
10036000099,324,81,2018-2019,33.113086,-87.128399
10036000669,285,51,2018-2019,33.05182,-87.135972
10036001426,318,79,2018-2019,33.112679,-87.131317
10036001480,316,74,2018-2019,33.209812,-87.137674
10039000079,112,80,2018-2019,33.519706,-86.808745
10039000103,448,151,2018-2019,33.51687,-86.771234
10039000106,94,21,2018-2019,33.559872,-86.728095
10039000107,143,30,2018-2019,33.485642,-86.899792
10039000108,152,65,2018-2019,33.487531,-86.829005
10039000112,138,24,2018-2019,33.484223,-86.885946
10039000113,282,81,2018-2019,33.580532,-86.690317
10039000119,156,54,2018-2019,33.494731,-86.813244
10039000127,139,35,2018-2019,33.536846,-86.731935
10039000133,137,40,2018-2019,33.470664,-86.897132
10039000136,135,56,2018-2019,33.493138,-86.851938
10039000139,93,50,2018-2019,33.555745,-86.804788
10039000140,207,93,2018-2019,33.594988,-86.692793
10039000141,174,78,2018-2019,33.612911,-86.681986
10039000142,120,37,2018-2019,33.563814,-86.781507
10039000156,118,18,2018-2019,33.505208,-86.882368
10039000161,153,85,2018-2019,33.54117,-86.802011
10039000164,110,17,2018-2019,33.518499,-86.892235
10039000165,142,73,2018-2019,33.514596,-86.829301
10039000174,127,36,2018-2019,33.502574,-86.860673
10039000175,269,88,2018-2019,33.527992,-86.714067
10039000176,223,83,2018-2019,33.497635,-86.798597
10039000179,104,27,2018-2019,33.572699,-86.719297
10039000184,209,98,2018-2019,33.610386,-86.701027
10039000187,145,68,2018-2019,33.525253,-86.829686
10039000190,138,66,2018-2019,33.496044,-86.828323
10039000191,130,39,2018-2019,33.464299,-86.881987
